id,value,feed_id,date
0E8NGVZDMAF0785GFZQW1C4MM7,ON,1038820,2019-09-21 22:25:48
0E8PPY1MNTQ05HFBHVQGT1B400,OFF,1038820,2019-09-23 09:54:32
0E8PX2K3D15PGY7SFB95ZDA2WJ,ON,1038820,2019-09-23 15:38:01
0E8QF2KYEKAPXYVNSNXXG8YACA,OFF,1038820,2019-09-24 08:24:42
0E8QW9CBVK1Y3XCM5RY108K3V0,ON,1038820,2019-09-24 20:43:32
0E8R8FHK8WGVZ8KBDFH0SEE52H,OFF,1038820,2019-09-25 08:05:24
0E8RB2D12M8XAH379D0C7ZTJA7,ON,1038820,2019-09-25 20:30:12
0E8S4DVSY9SXZKR17K87Y4A7WW,OFF,1038820,2019-09-26 10:08:20
0E8S4TCXJ1GG3HT5BR9FXWQ3TC,ON,1038820,2019-09-26 20:50:14
0E8SXEK4DVTSWYTJQF5M7DHW1F,OFF,1038820,2019-09-27 09:27:42
0E8SYJHA2SQ8GRWEW1Z01NENYR,ON,1038820,2019-09-27 21:18:47
0E8V2V42B9P1PHSG0CWVM0MYNN,OFF,1038820,2019-09-28 20:18:47
0E8VJ2A7D8RTA1GEYTYPP7BY41,ON,1038820,2019-09-29 5:30:13
0E8VNEV8AV1X71WQZYJW0Z238K,OFF,1038820,2019-09-29 13:39:54
0E8VW1N4504KTDXX4NTMSVJ364,ON,1038820,2019-09-29 19:48:19
0E8WBTDRVV0MJ2FGY5V3ZQ3QJT,ON,1038820,2019-09-30 10:30:28
0E8WHF5W911SV1A55548Z52QN6,OFF,1038820,2019-09-30 15:46:21
0E8X5JD5YS5F441SACXHCKRMRV,ON,1038820,2019-10-01 10:30:28
0E8XG7W0JFVR9HN16R6MWSKZFX,OFF,1038820,2019-10-01 20:27:13
0E8XZA9N0QM02KYRNMGGSD3TBW,ON,1038820,2019-10-02 10:30:19
0E8Y226YXFNFMPMXATT0DXPACF,ON,1038820,2019-10-02 13:03:58
0E8YS27J2CAEEH1V49SXEZZS21,ON,1038820,2019-10-03 10:30:15
0E8ZRVCQC29A6EERN57Y0DVT0Q,OFF,1038820,2019-10-04 16:07:52
0E8ZYETT2NA5FK681VBF4GBYK7,ON,1038820,2019-10-04 21:21:28
0E90CJ4FQ5B94DHA17T0P3ZJ3A,OFF,1038820,2019-10-05 10:30:10
0E90J9BA7VQC343XP9BH36W3J7,ON,1038820,2019-10-05 15:50:22
0E916A8A98YG8X3DQ2HWMBHEDC,OFF,1038820,2019-10-06 10:30:26
0E91B0VMD3RW6SEZ58BGK5VRR9,ON,1038820,2019-10-06 14:53:38
0E92029G1Q1Y6RH1JNAKPECVBC,ON,1038820,2019-10-07 10:30:32
0E92RM1KGQTCAQPZ5ND4BGC5WM,OFF,1038820,2019-10-08 09:23:44
0E92ST3QJSAPHJ8CGN02NMXVVB,ON,1038820,2019-10-08 10:30:16
0E93KJ5FYFBGKQXSFWYAVCG9MQ,ON,1038820,2019-10-09 10:30:24
0E93PKRAZ1QW8JAB2M84DYDYDB,OFF,1038820,2019-10-09 13:20:57
0E93PKRAZ1QW8JAB2M84DYDYDB,ON,1038820,2019-10-09 22:20:57
0E94DA0TC625MGJHG58M58J7EP,OFF,1038820,2019-10-10 10:30:12
0E94JN0HMB7BD1Z8DF99CJDPSN,ON,1038820,2019-10-10 15:29:01
0E957225ND4X7296BTQCMQBM4R,OFF,1038820,2019-10-11 10:30:19
0E95DN1SBWNY8S1P5GWNDS5ZMJ,ON,1038820,2019-10-11 16:39:02
0E960SY3J8X6J74R9GVHSS3KAN,ON,1038820,2019-10-12 10:30:08
0E967B98WH2SRMKD9WXF6C2X75,OFF,1038820,2019-10-12 16:36:00
0E96BSDJD3GQKSNSRQ45VQPC7F,ON,1038820,2019-10-12 20:44:24
0E96THYFAR9SM3BPKMS7K23DEN,ON,1038820,2019-10-13 10:30:12
0E971HP42MS0CQ2EZ1169X28SJ,OFF,1038820,2019-10-13 17:01:13
0E977V2YBKG6N7ZHJVH90WR549,ON,1038820,2019-10-13 22:53:11
0E97EDGRAHYJ7FKGZSSPAE1DBY,OFF,1038820,2019-10-14 05:00:56
0E97EQJ3RCBQH4CPA0TFB7Y0R3,OFF,1038820,2019-10-14 05:18:29
0E97M9Y41TNWW1HTEQDB3690C8,ON,1038820,2019-10-14 10:30:13
