sex,age,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Male,4,114434.0,120028.81762128565,121128.52894778087,125637.5634565714,129516.10828504761,131833.71428571426,127465.42857142849,124400.44682851603,123798.76353581579,124905.98277165327,121575.79276450581,121578.866007188,122081.22096716976,122472.55663596265,122781.25683319627,123168.53694016788,123589.11875706603,123969.82713587879,124295.86433830901,124617.07678789544,124935.99893196265,125247.49982490626,125596.00943659307,125999.88403550941,126457.11440299341,126977.62403698063,127565.28588817123,128230.52938404921,128965.97547276429,129766.43511274905,130619.40258726724,131582.3529010733,132600.73055692686,133730.725884406,134742.80417241607,135453.0979385266,136063.90806036408,136560.3190518596,136942.48937737301,137213.61676497385
Male,2,122898.1479954,127167.18250419042,131245.72733266663,134765.33333333326,130623.33333333326,127515.33333333326,126625.14285714283,127791.94671714425,124289.42522409206,124289.93131223627,124829.27510512024,125246.70982994844,125576.95449302901,125989.21685364287,126436.35613119265,126841.19278256605,127187.25440114149,127528.48948052124,127865.69405538443,128194.8076953587,128561.34598196685,128983.72224812704,129461.98518408548,130005.41541718447,130618.4241059228,131313.6990024551,132082.2744709401,132919.53946684883,133813.11561362143,134824.21498523944,135894.2454319055,137083.54333995,138149.5202031398,138898.662930288,139544.55889162567,140068.54603853985,140474.16341572086,140761.2654017994,140943.78105628927,141044.75719574565
Male,36,138730.0,140852.95238095228,145932.3809523809,150523.23809523805,159176.19047619042,165452.8571428571,167428.3809523809,165169.69112887187,166928.64980482165,168042.78487089643,172292.03285522605,171448.0931148836,168746.94114226266,171784.9285844871,169774.52753737842,170157.64729675927,169815.51545609423,167150.6178845591,165640.9611251645,167658.92360178262,167140.3457681929,168434.06789034547,168956.48369551462,167649.41004272184,167733.0936767959,166975.79496714688,165876.435957213,165323.19443928206,167678.06645713802,169922.48739677266,171649.89505311544,174044.9735221855,177065.25581835728,180504.98881770426,180654.74931788287,182558.4709968787,184787.35453938245,185574.8083193348,183282.04137422086,181562.83837370464
Female,64,73898.0,69472.09523809521,67672.19047619044,67638.28571428565,67090.4761904761,68474.57142857142,69532.57142857142,71476.66871574426,72481.39919450867,75269.63880750565,77388.91333767268,80289.52604128905,82801.14751615081,86396.29315062168,88480.85363337502,91449.13165587065,95405.2280561718,97509.79828361867,98682.1350437151,100004.86753002687,99211.66655385922,99306.8570982294,99602.81742720705,98336.47774428748,99511.61150048806,99029.94424555045,98222.05242492727,98225.67411129369,98982.05190538304,99929.03314434348,100747.27444450343,102408.84366615347,107713.36747763303,110114.73689202184,110837.37035851541,110838.43116086781,110251.25567973498,110149.42373925302,112333.04825502809,112743.45966803582
Female,67,55752.0,55730.09523809522,59084.19047619044,70244.38095238087,66572.4761904761,64750.57142857141,64876.57142857141,63941.56993998689,65355.31192371386,66363.19530172786,68183.80824570943,69132.86807874966,71732.73087198421,73740.4326129061,76480.58411814662,78833.73935325023,82195.963916321,84191.72747836227,86972.75407548802,90683.72169879265,92668.40143769866,93791.54631651341,95037.79533627923,94322.06923279187,94408.71104950065,94699.04776207966,93515.36876207485,94651.5196057015,94195.47766515869,93420.99820002721,93398.50090621866,94096.1027696991,94970.21167188467,95733.53081264981,97312.92207207865,102295.41097801724,104581.61509537701,105270.85576036642,105275.50040699448,104747.76285244343
Female,25,161350.0,161198.76190476184,162835.33333333326,158267.71428571426,156210.0952380952,154530.4761904761,148099.90476190468,146344.41452693165,146351.7569123587,146402.66317702012,146919.01092183523,148453.72128911264,147389.5630069342,147696.3153570171,146798.71870303582,145954.34500448382,144982.30156692007,148037.76208797205,150715.9110577828,152546.94052542286,155720.6447206596,158965.015928971,163759.99100387603,164178.77920010348,166281.80063867065,169205.7809963896,170747.57421557844,167570.32742891682,165152.00733271026,164719.30210942606,165410.43984654523,162967.86238361587,162672.424246033,162955.25767256902,163155.4889671834,163299.7399295438,163511.77421157988,163757.87415347865,163973.85507411868,164142.2220818729
Female,27,168594.0,171454.76190476184,171223.33333333326,171134.0952380952,173526.66666666663,167713.04761904763,162532.66666666663,162614.17327144326,160049.34415338488,157926.3641872262,157908.45819448464,157689.54497090966,158159.85876558302,159643.34115440038,158534.1771407199,158664.42088273948,157654.80845056902,156775.30659927044,155829.25263092387,158745.44568664022,161469.5680382663,163226.83904175967,166254.84305034368,169454.07839144327,174149.58009080443,174552.87312774762,176636.2185249296,179507.07279390586,180964.6077894881,177838.72602832003,175510.27519154886,175042.24458264268,175706.3520804874,173262.94661739568,173006.303184331,173279.8908887112,173468.58048881142,173601.99078148862,173803.6879773118,174039.4645008354
Female,39,126774.0,126268.66666666663,126453.14285714283,128345.52380952382,130899.61904761902,132750.0,135150.0,143609.44107756764,146760.69667857944,147856.95362661663,148048.1640319841,146833.42888300022,145762.4133085438,148854.19708971863,149498.32617697102,149559.80759508145,151161.9783452768,148848.38056513184,147739.9524827264,147456.5778948326,145500.2895934622,143463.94110051048,143380.29757622106,142905.27132106642,143260.9388646296,144298.81181275786,143368.28514637344,143351.2084665349,142473.91690922104,141803.7899647922,141165.9162061772,143231.30154561286,145364.23859376705,146590.53243669268,148673.04581791343,151007.40098560287,154425.7120954746,154660.86083815387,156221.75347879366,158334.06067628047
Male,83,19088.0,20004.09523809522,21420.0,21576.0,22384.09523809522,22210.28571428566,22688.190476190437,23290.252753127475,24060.306095739666,24077.912787743844,24983.154409526887,25474.783619773254,25384.313833806806,23087.3272232066,24572.729247725052,26631.071160828826,28280.034141662887,28595.65931365764,30252.596752548467,37002.72347054907,34734.35772107287,33771.15327198648,33733.66061976546,33753.66659960123,34101.50164989104,35163.88124148462,35908.09679144404,37516.369552213015,39282.90845679522,40247.08455918565,42082.457329622455,43565.433696854096,45134.698564431295,46673.413372573865,47774.47961409925,49565.19548749288,51405.85858532229,52013.60188203789,52909.289174739446,53785.22828570228
Male,15,95790.0,94732.09523809521,94124.19047619044,94512.28571428565,95006.38095238087,95362.57142857142,93396.38095238087,96408.51479513524,98395.23807473585,103178.80893638768,107307.06249909906,111337.1955610824,115714.16714637808,116176.54893730863,119298.07365815467,122202.45912040389,123789.15370014643,120431.27446685762,117909.54163537482,117437.46350300885,118357.59364022186,115529.71925403347,115545.26161657827,115948.00931240321,116266.79666661184,116517.53435373088,116833.86878305068,117178.60003164447,117490.9473258036,117758.80660083948,118023.197278846,118287.60022560286,118547.47882172704,118842.87423981463,119189.89403384246,119585.57617636543,120036.27816744367,120546.31782376867,121122.44227996559,121757.62598458362
