,Party,Donee,value
0,Mr Andy Street,Regulated Donee,1876.56
1,Mr Andy Street,Regulated Donee,2700.0
2,Mr Andy Street,Regulated Donee,4852.58
3,Mr Andy Street,Regulated Donee,2500.0
4,Mr Andy Street,Regulated Donee,4524.05
5,Mr Andy Street,Regulated Donee,5665.5
6,Conservative Group for Europe,Regulated Donee,10000.0
7,Mr Andy Street,Regulated Donee,5343.0
8,Progress Ltd,Regulated Donee,10000.0
9,Conservative Group for Europe,Regulated Donee,15000.0
10,Mr John Howell MP,Regulated Donee,7085.46
11,Labour for a Public-Vote,Regulated Donee,10000.0
12,Labour for a Public-Vote,Regulated Donee,30000.0
13,The Rt Hon Jeremy Hunt MP,Regulated Donee,2500.0
14,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
15,The Rt Hon Jeremy Hunt MP,Regulated Donee,2600.0
16,The Rt Hon Jeremy Hunt MP,Regulated Donee,3500.0
17,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
18,Mr Matthew Barber,Regulated Donee,2000.0
19,The Rt Hon Esther McVey,Regulated Donee,4000.0
20,Mr Darren Jones,Regulated Donee,19000.0
21,Mr Andrew Bridgen MP,Regulated Donee,3300.0
22,Sir David Amess MP,Regulated Donee,2553.0
23,Mr Jonathan Buckley,Regulated Donee,8500.0
24,Mr Andy Street,Regulated Donee,1049.0
25,Mr Andy Street,Regulated Donee,1290.3
26,Alison McGovern MP,Regulated Donee,1750.0
27,Andrea Jenkyns MP,Regulated Donee,10000.0
28,Mr Andy Street,Regulated Donee,2883.88
29,Mr Andy Street,Regulated Donee,2700.0
30,The Rt Hon Mike Penning MP,Regulated Donee,8625.0
31,Mr Andy Street,Regulated Donee,5176.5
32,Mr Stephen Doughty,Regulated Donee,1750.0
33,Mr Brandon Lewis MP,Regulated Donee,2000.0
34,Mr Neil Coyle,Regulated Donee,2000.0
35,Mr Andy Street,Regulated Donee,4852.58
36,Mr Andy Street,Regulated Donee,2500.0
37,Blue Collar Conservatism Ltd,Regulated Donee,10000.0
38,The Rt Hon Jeremy Hunt MP,Regulated Donee,2500.0
39,The Rt Hon Jeremy Hunt MP,Regulated Donee,2500.0
40,Ranil Jayawardena MP,Regulated Donee,10000.0
41,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
42,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
43,The Rt Hon Jeremy Hunt MP,Regulated Donee,2500.0
44,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
45,James Morris MP,Regulated Donee,10000.0
46,The Rt Hon Jeremy Hunt MP,Regulated Donee,1326.37
47,The Rt Hon Jeremy Hunt MP,Regulated Donee,10000.0
48,The Rt Hon Jeremy Hunt MP,Regulated Donee,2500.0
49,The Rt Hon Jeremy Hunt MP,Regulated Donee,5000.0
50,Scott Benton,Regulated Donee,2500.0
51,Mr Andrew Rosindell MP,Regulated Donee,2580.0
52,Mr Tim Loughton MP,Regulated Donee,2500.0
53,The Rt Hon Stephen Crabb MP,Regulated Donee,2500.0
54,Mr Andrew Gwynne MP,Regulated Donee,1586.5
55,Ms Rosie Cooper MP,Regulated Donee,2270.0
56,Dame Louise Ellman MP,Regulated Donee,2000.0
57,Dr Lisa Cameron MP,Regulated Donee,1586.5
58,Mr Stephen McCabe MP,Regulated Donee,2000.0
59,Joan Ryan MP,Regulated Donee,2000.0
60,Phil Wilson,Regulated Donee,2000.0
61,Mr Eddie Hughes,Regulated Donee,1586.5
62,Mr Resham Kotecha,Regulated Donee,2500.0
63,Ms Diane Abbott MP,Regulated Donee,1586.5
64,Mr Jonathan Gullis,Regulated Donee,2500.0
65,Mr Mohammad Yasin,Regulated Donee,1586.5
66,Alan Mak MP,Regulated Donee,2500.0
67,Simon Clarke,Regulated Donee,5000.0
68,Mr Andy Street,Regulated Donee,3941.34
69,Mr Boris Johnson MP,Regulated Donee,10000.0
70,Mr Andy Street,Regulated Donee,3650.1
71,Mr Andy Street,Regulated Donee,5899.5
72,Scottish National Party (SNP),Political Party,67307.96
73,Mr Edward Davey MP,Regulated Donee,2500.0
74,Women2Win,Regulated Donee,10000.0
75,The Rt Hon Mike Penning MP,Regulated Donee,35000.0
76,Mr Andy Street,Regulated Donee,532.1
77,Blue Collar Conservatism Ltd,Regulated Donee,3000.0
78,Mr Boris Johnson MP,Regulated Donee,10000.0
79,The Rt Hon Matthew Hancock MP,Regulated Donee,3500.0
80,Nigel Adams MP,Regulated Donee,2500.0
81,Mr Brandon Lewis MP,Regulated Donee,17000.0
82,Mr Boris Johnson MP,Regulated Donee,25000.0
83,Mr Boris Johnson MP,Regulated Donee,20000.0
84,Jess Phillips MP,Regulated Donee,20000.0
85,Mr Bob Blackman MP,Regulated Donee,1647.0
86,Mr Boris Johnson MP,Regulated Donee,10000.0
87,The Rt Hon Matthew Hancock MP,Regulated Donee,5000.0
